(s, ns, GiB/s):
  0,                0.000,              656.780,     34.849
  1,                0.000,              567.729,     40.315
  2,                0.000,              567.765,     40.313
  3,                0.000,              567.467,     40.334
  4,                0.000,              567.642,     40.322
  5,                0.000,              567.535,     40.329
  6,                0.000,              567.248,     40.350
  7,                0.000,              620.954,     36.860
  8,                0.000,              570.016,     40.154
  9,                0.000,              570.026,     40.153
 10,                0.000,              570.500,     40.120
 11,                0.000,              570.342,     40.131
 12,                0.000,              603.584,     37.920
 13,                0.000,              590.121,     38.786
 14,                0.000,              700.665,     32.666
 15,                0.000,              563.774,     40.598
 16,                0.000,              564.135,     40.572
 17,                0.000,              565.690,     40.461
 18,                0.000,              565.258,     40.492
 19,                0.000,              564.918,     40.516
 20,                0.000,              776.591,     29.473
 21,                0.000,              697.046,     32.836
 22,                0.000,              650.684,     35.176
 23,                0.000,              580.145,     39.453
 24,                0.000,              579.829,     39.474
 25,                0.000,              579.446,     39.500
 26,                0.000,              603.601,     37.919
 27,                0.000,              615.266,     37.200
 28,                0.000,              535.739,     42.723
 29,                0.000,              535.363,     42.753
 30,                0.000,              535.367,     42.752
 31,                0.000,              535.362,     42.753
 32,                0.000,              535.532,     42.739

535.362, 776.591, 589.155, 53.490, 9.079 %

Delta(min, max)   = 241.229
Delta(amean, min) = 53.793
Delta(amean, max) = 187.436


(cycles, CPIt, CPI):
  0,             1320.566,                0.430,                0.086
  1,             1463.150,                0.476,                0.095
  2,             1318.794,                0.429,                0.086
  3,             1320.070,                0.430,                0.086
  4,             1318.802,                0.429,                0.086
  5,             1438.662,                0.468,                0.094
  6,             1525.454,                0.497,                0.099
  7,             1491.162,                0.485,                0.097
  8,             1558.934,                0.507,                0.101
  9,             1318.400,                0.429,                0.086
 10,             1317.470,                0.429,                0.086
 11,             1317.718,                0.429,                0.086
 12,             1324.394,                0.431,                0.086
 13,             1365.574,                0.445,                0.089
 14,             1380.536,                0.449,                0.090
 15,             1545.420,                0.503,                0.101
 16,             1429.454,                0.465,                0.093
 17,             1397.072,                0.455,                0.091
 18,             1397.482,                0.455,                0.091
 19,             1395.686,                0.454,                0.091
 20,             1542.362,                0.502,                0.100
 21,             1317.246,                0.429,                0.086
 22,             1378.726,                0.449,                0.090
 23,             1458.956,                0.475,                0.095
 24,             2059.838,                0.671,                0.134
 25,             1543.730,                0.503,                0.101
 26,             1324.396,                0.431,                0.086
 27,             1324.078,                0.431,                0.086
 28,             1324.200,                0.431,                0.086
 29,             1438.636,                0.468,                0.094
 30,             1240.650,                0.404,                0.081
 31,             1373.640,                0.447,                0.089
 32,             1440.780,                0.469,                0.094

1240.650, 2059.838, 1415.516, 143.163, 10.114 %

Delta(min, max)   = 819.188
Delta(amean, min) = 174.866
Delta(amean, max) = 644.322
