(s, ns, GiB/s):
  0,                0.000,             6279.192,     30.376
  1,                0.000,             6118.918,     31.171
  2,                0.000,             6384.414,     29.875
  3,                0.000,             5852.330,     32.591
  4,                0.000,             6155.802,     30.985
  5,                0.000,             5833.682,     32.695
  6,                0.000,             5884.158,     32.415
  7,                0.000,             5805.765,     32.853
  8,                0.000,             5714.081,     33.380
  9,                0.000,             5645.146,     33.787
 10,                0.000,             5746.971,     33.189
 11,                0.000,             5712.786,     33.387
 12,                0.000,             5731.460,     33.279
 13,                0.000,             5679.075,     33.586
 14,                0.000,             5647.543,     33.773
 15,                0.000,             5683.777,     33.558
 16,                0.000,             5646.064,     33.782
 17,                0.000,             5682.189,     33.567
 18,                0.000,             5646.097,     33.782
 19,                0.000,             5681.036,     33.574
 20,                0.000,             5682.077,     33.568
 21,                0.000,             5678.782,     33.587
 22,                0.000,             5714.978,     33.375
 23,                0.000,             5679.449,     33.583
 24,                0.000,             5716.012,     33.369
 25,                0.000,             5678.323,     33.590
 26,                0.000,             5716.849,     33.364
 27,                0.000,             5679.226,     33.585
 28,                0.000,             5677.856,     33.593
 29,                0.000,             5727.274,     33.303
 30,                0.000,             5680.542,     33.577
 31,                0.000,             5712.707,     33.388
 32,                0.000,             5711.894,     33.393

5645.146, 6384.414, 5775.347, 186.015, 3.221 %

Delta(min, max)   = 739.268
Delta(amean, min) = 130.201
Delta(amean, max) = 609.067


(cycles, CPIt, CPI):
  0,            14272.998,                0.558,                0.112
  1,            14175.344,                0.554,                0.111
  2,            14223.576,                0.556,                0.111
  3,            14254.980,                0.557,                0.111
  4,            14173.012,                0.554,                0.111
  5,            14184.800,                0.554,                0.111
  6,            14177.230,                0.554,                0.111
  7,            14260.496,                0.557,                0.111
  8,            14175.068,                0.554,                0.111
  9,            14263.438,                0.557,                0.111
 10,            14261.394,                0.557,                0.111
 11,            14175.608,                0.554,                0.111
 12,            14263.590,                0.557,                0.111
 13,            14177.174,                0.554,                0.111
 14,            14176.266,                0.554,                0.111
 15,            15283.636,                0.597,                0.119
 16,            14409.616,                0.563,                0.113
 17,            14192.414,                0.554,                0.111
 18,            14087.008,                0.550,                0.110
 19,            14275.952,                0.558,                0.112
 20,            14348.570,                0.560,                0.112
 21,            14177.456,                0.554,                0.111
 22,            14340.718,                0.560,                0.112
 23,            14090.450,                0.550,                0.110
 24,            14490.550,                0.566,                0.113
 25,            14178.328,                0.554,                0.111
 26,            14302.692,                0.559,                0.112
 27,            14177.270,                0.554,                0.111
 28,            14104.752,                0.551,                0.110
 29,            14098.572,                0.551,                0.110
 30,            14178.538,                0.554,                0.111
 31,            14265.748,                0.557,                0.111
 32,            14174.112,                0.554,                0.111

14087.008, 15283.636, 14254.284, 204.901, 1.437 %

Delta(min, max)   = 1196.628
Delta(amean, min) = 167.276
Delta(amean, max) = 1029.352
