       reduc_SSE_16B;   2.365 %; 12.795
       reduc_SSE_32B;   0.473 %; 25.841
       reduc_SSE_64B;   3.429 %; 47.000
      reduc_SSE_128B;   0.583 %; 44.937
       reduc_AVX_32B;   1.350 %; 25.774
       reduc_AVX_64B;   0.856 %; 50.845
      reduc_AVX_128B;   0.865 %; 74.546
      reduc_AVX_256B;   0.876 %; 71.408
