(s, ns, GiB/s):
  0, 0.000, 69574.827, 2.741
  1, 0.000, 66893.855, 2.851
  2, 0.000, 66360.190, 2.874
  3, 0.000, 66331.863, 2.875
  4, 0.000, 66709.943, 2.859
  5, 0.000, 66636.385, 2.862
  6, 0.000, 66212.185, 2.881
  7, 0.000, 68873.103, 2.769
  8, 0.000, 66362.438, 2.874
  9, 0.000, 66560.590, 2.866
 10, 0.000, 66948.419, 2.849
 11, 0.000, 66274.771, 2.878
 12, 0.000, 66197.914, 2.881
 13, 0.000, 66489.955, 2.869
 14, 0.000, 66322.658, 2.876
 15, 0.000, 66453.135, 2.870
 16, 0.000, 66386.686, 2.873
 17, 0.000, 66460.627, 2.870
 18, 0.000, 67181.738, 2.839
 19, 0.000, 66408.272, 2.872
 20, 0.000, 66323.898, 2.876
 21, 0.000, 66275.883, 2.878
 22, 0.000, 66423.837, 2.871
 23, 0.000, 66390.453, 2.873
 24, 0.000, 66267.209, 2.878
 25, 0.000, 66485.836, 2.869
 26, 0.000, 66895.511, 2.851
 27, 0.000, 66445.724, 2.871
 28, 0.000, 67266.631, 2.836
 29, 0.000, 66320.300, 2.876
 30, 0.000, 66323.001, 2.876
 31, 0.000, 66388.687, 2.873
 32, 0.000, 66326.358, 2.876

66197.914, 69574.827, 66659.784, 717.761, 1.077 %

Delta(min, max)   = 3376.913
Delta(amean, min) = 461.870
Delta(amean, max) = 2915.043


(cycles, CPIt, CPI):
  0, 165954.512, 6.483, 1.297
  1, 164946.178, 6.443, 1.289
  2, 168608.548, 6.586, 1.317
  3, 165679.146, 6.472, 1.294
  4, 165722.496, 6.474, 1.295
  5, 165508.064, 6.465, 1.293
  6, 165391.218, 6.461, 1.292
  7, 165658.916, 6.471, 1.294
  8, 165484.506, 6.464, 1.293
  9, 165624.718, 6.470, 1.294
 10, 165144.838, 6.451, 1.290
 11, 166881.840, 6.519, 1.304
 12, 165638.850, 6.470, 1.294
 13, 165626.226, 6.470, 1.294
 14, 165973.498, 6.483, 1.297
 15, 165788.658, 6.476, 1.295
 16, 165379.190, 6.460, 1.292
 17, 165620.510, 6.470, 1.294
 18, 165390.918, 6.461, 1.292
 19, 166188.798, 6.492, 1.298
 20, 166476.658, 6.503, 1.301
 21, 165888.394, 6.480, 1.296
 22, 164818.364, 6.438, 1.288
 23, 165174.076, 6.452, 1.290
 24, 165624.946, 6.470, 1.294
 25, 165545.608, 6.467, 1.293
 26, 165535.202, 6.466, 1.293
 27, 165626.684, 6.470, 1.294
 28, 165786.404, 6.476, 1.295
 29, 167451.820, 6.541, 1.308
 30, 165897.828, 6.480, 1.296
 31, 165026.358, 6.446, 1.289
 32, 165950.074, 6.482, 1.296

164818.364, 168608.548, 165788.304, 721.308, 0.435 %

Delta(min, max)   = 3790.184
Delta(amean, min) = 969.940
Delta(amean, max) = 2820.244
