(s, ns, GiB/s):
  0, 0.000, 8535.007, 2.682
  1, 0.000, 8952.096, 2.557
  2, 0.000, 8274.534, 2.766
  3, 0.000, 8442.951, 2.711
  4, 0.000, 8067.404, 2.837
  5, 0.000, 8044.744, 2.845
  6, 0.000, 8056.103, 2.841
  7, 0.000, 8047.434, 2.844
  8, 0.000, 7845.235, 2.917
  9, 0.000, 7909.866, 2.894
 10, 0.000, 7943.047, 2.882
 11, 0.000, 7910.374, 2.893
 12, 0.000, 7844.905, 2.918
 13, 0.000, 7844.752, 2.918
 14, 0.000, 7844.767, 2.918
 15, 0.000, 7880.702, 2.904
 16, 0.000, 7909.305, 2.894
 17, 0.000, 7941.760, 2.882
 18, 0.000, 7909.469, 2.894
 19, 0.000, 7909.732, 2.894
 20, 0.000, 7948.796, 2.879
 21, 0.000, 7909.684, 2.894
 22, 0.000, 7918.389, 2.891
 23, 0.000, 7909.571, 2.894
 24, 0.000, 7877.001, 2.906
 25, 0.000, 7977.512, 2.869
 26, 0.000, 7968.009, 2.873
 27, 0.000, 8205.492, 2.789
 28, 0.000, 7844.773, 2.918
 29, 0.000, 7844.752, 2.918
 30, 0.000, 7843.147, 2.918
 31, 0.000, 7877.498, 2.906
 32, 0.000, 7909.366, 2.894

7843.147, 8952.096, 8004.490, 238.084, 2.974 %

Delta(min, max)   = 1108.949
Delta(amean, min) = 161.343
Delta(amean, max) = 947.606


(cycles, CPIt, CPI):
  0, 19834.850, 6.457, 1.291
  1, 19581.716, 6.374, 1.275
  2, 19664.152, 6.401, 1.280
  3, 19584.512, 6.375, 1.275
  4, 19663.064, 6.401, 1.280
  5, 19743.896, 6.427, 1.285
  6, 19743.768, 6.427, 1.285
  7, 19744.034, 6.427, 1.285
  8, 19743.732, 6.427, 1.285
  9, 19743.994, 6.427, 1.285
 10, 19867.204, 6.467, 1.293
 11, 19581.684, 6.374, 1.275
 12, 19667.406, 6.402, 1.280
 13, 19581.564, 6.374, 1.275
 14, 19744.032, 6.427, 1.285
 15, 19743.336, 6.427, 1.285
 16, 19743.826, 6.427, 1.285
 17, 19743.360, 6.427, 1.285
 18, 19845.828, 6.460, 1.292
 19, 19662.922, 6.401, 1.280
 20, 19663.286, 6.401, 1.280
 21, 19581.546, 6.374, 1.275
 22, 19673.044, 6.404, 1.281
 23, 19836.970, 6.457, 1.291
 24, 19581.510, 6.374, 1.275
 25, 19667.698, 6.402, 1.280
 26, 19707.864, 6.415, 1.283
 27, 19581.470, 6.374, 1.275
 28, 19581.522, 6.374, 1.275
 29, 19664.208, 6.401, 1.280
 30, 19668.370, 6.402, 1.280
 31, 19988.698, 6.507, 1.301
 32, 19783.572, 6.440, 1.288

19581.470, 19988.698, 19703.292, 99.286, 0.504 %

Delta(min, max)   = 407.228
Delta(amean, min) = 121.822
Delta(amean, max) = 285.406
